id,label
224_THE_FOX_THE_FLIES_AND_THE_HEDGEHOG,224_THE_FOX_THE_FLIES_AND_THE_HEDGEHOG
Thieves,Thieves
Scandal,Scandal
153_THE_PIG_THE_GOAT_AND_THE_SHEEP,153_THE_PIG_THE_GOAT_AND_THE_SHEEP
129_THE_WISHES,129_THE_WISHES
ambassadors,ambassadors
owl,owl
Pigeon,Pigeon
husband,husband
Breeze,Breeze
poor man,poor man
Goat,Goat
Wind,Wind
gossip,gossip
Ants,Ants
Peasant,Peasant
Orphan,Orphan
courtesan,courtesan
farmer,farmer
shepherds,shepherds
124_THE_ANIMALS_SICK_OF_THE_PLAGUE,124_THE_ANIMALS_SICK_OF_THE_PLAGUE
Cats,Cats
King,King
189_THE_FISH_AND_THE_SHEPHERD_WHO_PLAYED_ON_THE_CLARIONET,189_THE_FISH_AND_THE_SHEPHERD_WHO_PLAYED_ON_THE_CLARIONET
Tiger,Tiger
cow,cow
mastiffs,mastiffs
Servants,Servants
154_THE_RAT_AND_THE_ELEPHANT,154_THE_RAT_AND_THE_ELEPHANT
24_THE_WOLF_PLEADING_AGAINST_THE_FOX_BEFORE_THE_APE,24_THE_WOLF_PLEADING_AGAINST_THE_FOX_BEFORE_THE_APE
116_THE_SUN_AND_THE_FROGS,116_THE_SUN_AND_THE_FROGS
Donkey,Donkey
chicken,chicken
55_THE_MONKEY_AND_THE_DOLPHIN,55_THE_MONKEY_AND_THE_DOLPHIN
fisherman,fisherman
Nemesis,Nemesis
Clidamant,Clidamant
Tisiphone,Tisiphone
Frogs,Frogs
Rats,Rats
232_A_SCYTHIAN_PHILOSOPHER,232_A_SCYTHIAN_PHILOSOPHER
Dolphin,Dolphin
Bears,Bears
hunter,hunter
Turkey,Turkey
194_THE_WOLF_AND_THE_PEASANTS,194_THE_WOLF_AND_THE_PEASANTS
58_THE_GOUT_AND_THE_SPIDER,58_THE_GOUT_AND_THE_SPIDER
72_THE_ASS_AND_THE_LITTLE_DOG,72_THE_ASS_AND_THE_LITTLE_DOG
lord,lord
Bulls,Bulls
159_THE_TWO_DOGS_AND_THE_DEAD_ASS,159_THE_TWO_DOGS_AND_THE_DEAD_ASS
2_THE_RAVEN_AND_THE_FOX,2_THE_RAVEN_AND_THE_FOX
Carp,Carp
Cat,Cat
Perette,Perette
